name,url,description,address,latitude,longitude,start_time,end_time,ticketed_events,fully_booked
Alpha House,https://programme.openhouse.org.uk/listings/13329,"This 1970s home was fully extended and remodeled into a live-work space, featuring a side extension with a double-height atrium, relocated access and stairs, and a mix of original and new materials. Triple glazing, underfloor heating, and low-energy lighting enhance sustainability. A glazed landing links old and new, with bamboo landscaping for privacy.","1A Gatward Cl, N21 1AS",51.63937,-0.0999,09:30:00,18:30:00,Yes,No
Andaz London Liverpool Street,https://programme.openhouse.org.uk/listings/11391,"Andaz London Liverpool Street, a concept by Hyatt, blends rich history dating back to the 1200s with modern decor and the vibrant energy of its London neighborhood.

Step inside and join us for an open house tour led by our dedicated team!","Andaz London, 40 Liverpool Street, EC2M 7QN",51.517312,-0.0813472,15:00:00,16:00:00,Yes,Yes
Artichoke Print Workshop Coldharbour Works,https://programme.openhouse.org.uk/listings/13338,"Printmaking workshop featuring artists working with traditional printmaking techniques - etching, wood cut, Lino cut and mono print.","Coldharbour Works, 245a Coldharbour Lane/Shakespeare Road, SW9 8RR",51.46474,-0.1024,10:30:00,16:30:00,No,
Bush Theatre - Backstage Tours,https://programme.openhouse.org.uk/listings/11992,"Explore the Bush Theatre, West London’s home of new writing. Get a behind the scenes look at our fifty-year history, including how over 2016 we transformed our 128-year-old building into an accessible and sustainable modern theatre.","Bush Theatre, 7 Uxbridge Rd, W12 8LJ",51.50525,-0.22601,12:00:00,16:45:00,Yes,Yes
Canada House,https://programme.openhouse.org.uk/listings/2783,"Canada's diplomatic home in the United Kingdom, the revitalised Canada House serves as a showcase for the very best of Canadian art and design in the 21C.","Trafalgar Square, SW1Y 5BJ",51.50802,-0.12892,14:30:00,16:00:00,Yes,Yes
Christ Church,https://programme.openhouse.org.uk/listings/2462,"Grade II* listed church with ragstone tower, spire, good stained glass by Kempe and recently restored William Hill organ. A characteristic work of Scott. It is Gothic Revival in the style of the 13C.","Wanstead Place, E11 2SW",51.57762,0.02428,09:00:00,13:00:00,No,
City Information Centre,https://programme.openhouse.org.uk/listings/4009,London's main tourist information centre is clad in a specially manufactured system of 220 pre-finished stainless steel panels. The subtly reflective surface provides a striking counterpoint to St Paul's.,"St Paul's Churchyard, EC4M 8BX",51.5131,-0.09886,09:30:00,17:30:00,No,
Conway Hall,https://programme.openhouse.org.uk/listings/3425,"The home of Conway Hall Ethical Society, an organisation renowned as a hub for free speech and progressive thought. Grade II listed building with both Arts and Crafts and Art Deco features adding to its distinctive style.","25 Red Lion Square, WC1R 4RL",51.51987740000001,-0.118179,15:00:00,20:30:00,Yes,No
"De Lane Lea Studios, 75 Dean Street",https://programme.openhouse.org.uk/listings/12611,"Soho is a unique neighbourhood of creativity and diversity. Join us at the former Warner Brothers De Lane Lea studio at 75 Dean Street, home of the Museum of Soho.  Explore an exhibition of Soho's 300 year history.   See short films and talks on Soho in our 80 seater screening room.","75 Dean St, Soho, W1D 3PU",51.51381,-0.13307,12:00:00,18:00:00,Yes,No
"Designer-led tour of Beresford Square, Woolwich",https://programme.openhouse.org.uk/listings/13298,Beresford Square in Woolwich has been transformed. Come and find out from the designers what has changed.,"Beresford Square, Woolwich, SE18 6BB",51.49129,0.06869,18:00:00,19:00:00,Yes,Yes
Empire City walking tour,https://programme.openhouse.org.uk/listings/12616,"Walk through the City of London from the Thames up to Lloyds of London, site of the former HQ of the East India Company, looking at buildings and architecture built during the time of British Empire.","Old Billingsgate Walk, EC3R 6DX",51.50847,-0.08371,10:30:00,12:00:00,Yes,Yes
Explore the authentically recreated Colony Room,https://programme.openhouse.org.uk/listings/12933,"A revival and love letter to London’s lost bohemia..   Travel back in time to the legendary haunt of some of Soho's greatest creatives.   Featuring pictures, press cuttings and even the piano from the much loved private members club.","4 Heddon Street, W1B 4BS",51.51092,-0.13932,15:00:00,22:00:00,No,
Fitzrovia Chapel,https://programme.openhouse.org.uk/listings/6534,"Loughborough Pearson's red brick building is unimposing from the outside, but inside is a riot of Gothic Revival design. Golden mosaics reveal the character of the Grade II* listed chapel, built as part of the Middlesex Hospital.","2 Pearson Square, Fitzroy Place, W1T 3BF",51.51895,-0.13826,11:00:00,17:00:00,No,
Fulham Palace,https://programme.openhouse.org.uk/listings/1150,"Early Tudor Palace with Georgian reception rooms, Victorian Chapel, 13 acres of botanic garden and walled garden.","Bishop's Avenue, Fulham, SW6 6EA",51.47157,-0.21683,10:30:00,15:30:00,Yes,No
Hare Krishna Temple in London,https://programme.openhouse.org.uk/listings/13325,"This is your go-to place to discover who you really are, where you have come from and where you are going. The greatest blend of all philosophies, religions and spirituality, you will get tasty food, music, talks, and books to whet your appetite for your journey back to the spiritual world. Whether you want a peaceful haven to chill out or someone to speak to you will find it here in Soho Street.","10, Soho Street, off Oxford Street, near Tottenham Court Road Station",51.51607,-0.13273,12:25:00,14:30:00,No,
