name,url,description,address,latitude,longitude,start_time,end_time,ticketed_events,fully_booked
'Latin London' Walking Tours,https://programme.openhouse.org.uk/listings/11654,"This tour allows participants to experience the city via its Early Modern Latin monuments, inscriptions and poetry, made accessible via modern translations. (c.1500-1700).
It runs from Tower of London to St Paul's Cathedral (c. 2.5 hours).","Traitors' Gate, Tower of London, EC3N 4DR",51.5074464,-0.0769224,10:00:00,12:30:00,Yes,Yes
8 Bishopsgate,https://programme.openhouse.org.uk/listings/12225,An exciting opportunity to visit the latest contribution to the City of London’s Cluster of tall buildings. The newly completed 8 Bishopsgate by architects WilkinsonEyre is a 50-storey building designed as a series of stacked blocks.,"8 Bishopsgate, EC2N 4DA",51.514,-0.08361,14:00:00,17:30:00,Yes,Yes
AH A Studio,https://programme.openhouse.org.uk/listings/11991,This is a newly built and fitted out architecture studio in London Fields. We designed it as a flexible working and event space with the opportunity to align personal wellbeing and professional endeavour in one supportive space.,"Unit 13, 39 Gransden Ave, E8 3QA",51.54066,-0.05639,11:00:00,15:00:00,No,
Amazing Women in London Tour,https://programme.openhouse.org.uk/listings/11674,Have you ever walked through London and wondered “Where are the statues of women?” or have you ever walked around London and counted the statues of women then tried to do the same with the statues of men?,"Outside Lambeth Palace, SE1 7LB",51.49577,-0.11984,13:00:00,15:30:00,Yes,Yes
Andaz London Liverpool Street,https://programme.openhouse.org.uk/listings/11391,"A concept by Hyatt, Andaz London exuberates history since the 1200's veiled by the new-age decor and a buzzing London neighborhood. 

Step in and explore, as Ryan takes you around for an open house!","Andaz London, 40 Liverpool Street, EC2M 7QN",51.517312,-0.0813472,14:30:00,17:30:00,Yes,Yes
Bank/Monument station,https://programme.openhouse.org.uk/listings/11819,"In 2023, Bank/Monument station completed a major upgrade that increased the station's capacity by 40%. Yet while much of the Bank/Monument complex is new, the station dates back over 100 years.  This tour will showcase its history.","Bank/Monument Complex, Princes St, EC3V 3LA",51.513388,-0.0889145,19:00:00,20:00:00,Yes,Yes
Battle of Britain Lace Panel: Talk by conservator,https://programme.openhouse.org.uk/listings/11943,A new installation of Bromley’s Battle of Britain lace panel is now on display in the Central library and forms part of Bromley Historic Collections. Join us for a talk on the restoration process and specialist textile conservation.,"High Street, Bromley, BR1 1EX",51.40376,0.01515,19:15:00,20:30:00,Yes,No
Beck Road Studios: Open Studios Exhibitions,https://programme.openhouse.org.uk/listings/11954,"Explore a vibrant artist community beneath a railway arch at our open studios! Engage with talented artists, discover diverse exhibitions. Join us in celebrating the creativity and sense of togetherness that define this unique space.","343-344 Arches, Beck Road, E8 4RE",51.53684,-0.05696,18:00:00,20:00:00,No,
Burlington House: Society of Antiquaries of London,https://programme.openhouse.org.uk/listings/1651,"Part of New Burlington House, purpose built in 1875 for London's learned societies. Historic apartments with highlights from the Library and Museum collections on display. Imposing top-lit library with double galleries and marbled columns.","Burlington House, Piccadilly, W1J 0BE",51.5092548,-0.1397032,11:00:00,15:30:00,Yes,Yes
C2 Clod Ensemble Studios : Design District,https://programme.openhouse.org.uk/listings/11214,"The building, designed by Mole Architects, comprises a 2000 square foot rehearsal top-lit studio, open-plan office, music production studio. Constructed entirely from timber, clad in weathered steel and designed to limit energy consumption.","C2 Cripps Yard, Soames Walk, Design District, SE10 0BQ",51.500307,0.0054362,16:00:00,18:00:00,Yes,No
Calamity and civility: contrasts in Clerkenwell,https://programme.openhouse.org.uk/listings/11973,"Tranquil Clerkenwell, so close to the bustling City has a distinct character and intriguing history. Once centred around great religious houses, the area has been the scene of fierce rebellion, innovative architecture, and major commerce.","Charterhouse Square (outside Charterhouse), EC1M 6AN",51.52082,-0.09933,11:00:00,13:30:00,Yes,Yes
