name,url,description,address,latitude,longitude,start_time,end_time,ticketed_events,fully_booked
38 Grosvenor Square,https://openhouselondon.open-city.org.uk/listings/10266,"A beautiful Mayfair town house c 1727 original to the Square. Transformed 1776 by John Johnson for Duke of Dorset; magnificent staircase, lavish ‘Adamesque’ entertaining suite. Mid-C19 Italianate front by Thomas Cundy.","38 Grosvenor Square, Mayfair, W1K 4AG",51.5105161,-0.1515592,12:00:00,15:00:00,No,
Alderman Jones House,https://openhouselondon.open-city.org.uk/listings/8952,Becontree Estate two storey cottage house with garden located on a banjo.,"322 Parsloes Avenue , Dagenham, RM9 5QL",51.5499898,0.1326619,11:00:00,16:00:00,No,
C20 x Open House talk by Catherine Slessor,https://openhouselondon.open-city.org.uk/listings/10432,"Catherine Slessor, President of the Twentieth Century Society, takes us on a perambulation through London focussing on examples of post 1914 buildings in London.","Online only, E14 2BE",51.5102126,-0.0048536,18:30:00,19:30:00,Yes,Unknown
Chiswick House,https://openhouselondon.open-city.org.uk/listings/2862,"One of the earliest and finest examples of Neo-Palladian design in the UK, Chiswick House is an 18C villa in west London. The 65 acres of Grade I listed gardens are the birthplace of the English Landscape Movement.","The Estate Office, Chiswick House, W4 2QN",51.4838077,-0.258696,10:00:00,16:00:00,Yes,Unknown
Creating thoughtful homes with Oliver Leech Architects,https://openhouselondon.open-city.org.uk/listings/10268,"With a growing portfolio and strong reputation for the quality of his design and built work, Oliver Leech takes We Design Homes through how the practice uses light to create emotive spaces, and deliver a range of truly thoughtful homes.","Online Event, E14 2BE",51.5101854,-0.0049002,18:00:00,19:00:00,No,
Discovering the architecture of art spaces,https://openhouselondon.open-city.org.uk/listings/10406,"Discover the architecture of art spaces along and around the South Bank and how they have evolved to reflect changes in art, its role in society and how the arts are experienced and interpreted from the 1950s to the present day.","Bermondsey Street, SE1 3XB",51.5007926,-0.0818488,16:30:00,18:30:00,No,
Dreamings collage art exhibition,https://openhouselondon.open-city.org.uk/listings/10275,"A collage art exhibition. Every day except Monday and Tuesday. A talk ""Why Collage?"" on Sunday evening at 7, followed by a Q&A and an art raffle for charity","The Brook Pub, 38 New Rd, Brentford TW8 0NU, TW8 0NU",51.4882787,-0.3046688,12:00:00,23:00:00,No,
Energy Hub,https://openhouselondon.open-city.org.uk/listings/10146,"The Energy Hub is a unique mixed-use building containing a combined heat and power facility, nursery, community café and pocket park. The project comprises a combination of uses never before entwined in one building.","Rodney Rd/Heygate Street, Elephant & Castle, SE17 1FN",51.492818,-0.0939408,14:00:00,15:00:00,No,
Enfield To Fork - Edmonton Green Shopping Centre,https://openhouselondon.open-city.org.uk/listings/10236,"The Museum of Enfield is this year bringing its temporary exhibition to you! “From Enfield to Fork” explores the borough’s history and relationship with food, from Roman Enfield to Market Gardening.","62 Smythe Close, N9 0TZ",51.6241568,-0.0578985,10:00:00,16:00:00,No,
Estorick Collection of Modern Italian Art ,https://openhouselondon.open-city.org.uk/listings/7787,"The Estorick Collection is housed in a beautiful Georgian building previously known as Northampton Lodge. Today, the museum comprises six galleries over three floors, as well as a library, offices, a café and bookshop.","39a Canonbury Square, N1 2AN",51.5439433,-0.1003491,16:00:00,16:45:00,No,
Expressway,https://openhouselondon.open-city.org.uk/listings/10234,"Expressway is already the chosen home for nearly 200 thriving businesses that support an around 1,100 jobs. Covering over 120,000 sqft of cost-effective office, light industrial & storage space all located under the Silvertown Way flyover.","1 Dock Road, E16 1AH",51.505699,0.0164793,10:00:00,12:30:00,No,
Flow Gallery,https://openhouselondon.open-city.org.uk/listings/9595,"The interior of the building was redesigned in 2014 by John Pardey  to combine a craft gallery with a live work space for the gallery owner. Inspired by Kettle's Yard Flow space exhibits ceramics, glass, wood, textiles and jewellery.","1-5 Needham Rd, W11 2RP",51.5150985,-0.197374,11:00:00,17:00:00,No,
German Historical Institute,https://openhouselondon.open-city.org.uk/listings/6371,"This Grade II* listed building includes an Adam-style ceiling (first floor) and two beautiful staircases with wrought-iron balustrades. Once home to the Pharmaceutical Society of Great Britain, it now houses a historical research institute.","17 Bloomsbury Square, WC1A 2NJ",51.5190283,-0.1238095,00:00:00,23:59:00,No,
Guildhall Art Gallery,https://openhouselondon.open-city.org.uk/listings/1405,"Houses the City of London's art collection, built over remains of London's Roman amphitheatre. Façade uses Portland stone and Collyweston stone slates. Interior uses finishes of marble, American elm, damask and painted wall coverings.","Guildhall Yard, EC2V 5AE",51.5152512,-0.0921379,10:30:00,16:00:00,Yes,Unknown
Hanwell Community Centre,https://openhouselondon.open-city.org.uk/listings/7453,"Victorian Grade II listed former Central London District School, known as the 'Cuckoo Schools', was 'home' to up to 1500 pauper children from inner London from 1857-1933.","Wescott Crescent, Hanwell, W7 1PD",51.5202262,-0.3331163,18:30:00,19:30:00,Yes,Unknown
Honeywood Museum,https://openhouselondon.open-city.org.uk/listings/3939,Chalk and flint house dating to 17C with additions including extensions of 1896 and 1903 when owned by John Pattinson Kirk. Rich in period detail and the interior restored and stairs opened up with funding from the Heritage Lottery Fund.,"Honeywood Walk, Carshalton, SM5 3NX",51.3660834,-0.1655658,10:00:00,17:00:00,Yes,Unknown
Hyde Park Chapel,https://openhouselondon.open-city.org.uk/listings/9987,The four-story Church façade and prominent seven-story tower is covered in Portland stone and highlighted by a golden steeple. The interior features the Christus statue and a large mural of the resurrected Jesus Christ.,"64-68 Princes Gate, Exhibition Road, SW7 2PA",51.497811,-0.1734449,10:00:00,18:00:00,No,
Low Line: Southwark Street Arch – Mixed Occupier Test Bed,https://openhouselondon.open-city.org.uk/listings/10208,"Join TDO to review a project that retrofits vacant railway arches, reimagining what these spaces along the Low Line can contribute. TDO’s proposals re-purpose Nissen sheds, providing self-contained enclosures for a range of uses.","45 Southwark Street, SE1 0HP",51.5047367,-0.093463,18:00:00,19:30:00,No,
Maggie's Barts,https://openhouselondon.open-city.org.uk/listings/6604,"Maggie's Barts opened in December 2017. Maggie's Centres are unique, welcoming and uplifting places with qualified staff on hand to provide free practical, emotional and social support for people with cancer, their families and friends.","St Bartholomew's Hospital, EC1A 7BE",51.517496,-0.1000463,17:00:00,18:00:00,No,
Morley College Waterloo,https://openhouselondon.open-city.org.uk/listings/4768,"The Waterloo Centre, damaged in WWII and rebuilt in 1958 by Cowles Voysey and Brandon-Jones.","61 Westminster Bridge Road, SE1 7HT",51.4980267,-0.109553,15:30:00,16:00:00,No,
Museum of Neoliberalism,https://openhouselondon.open-city.org.uk/listings/8739,"The museum is situated in a shopfront in Leegate Shopping Centre, which has been described by the Evening Standard as ""the worst shopping precinct in the country.""","16 Eltham Road, SE12 8TF",51.4560075,0.0125015,11:00:00,19:00:00,Yes,Unknown
National Youth Theatre,https://openhouselondon.open-city.org.uk/listings/9812,"Completed in Summer 2021, the National Youth Theatre has been redeveloped to double its capacity for studio space and was designed with young people, for young people. Recipient of the Mayor of London's Good Growth Fund.","443-445 Holloway Road, N7 6LW",51.5591865,-0.1224646,16:00:00,18:00:00,No,
Nunnery Gallery,https://openhouselondon.open-city.org.uk/listings/10254,"In 1868 the Dominican sisters established a convent in the heart of the East End. Today, the Nunnery Gallery maintains some of its original neo-gothic features, and original hardwood floor and hosts a programme of site-responsive art.","Nunnery Gallery, 181 Bow Road, Tower Hamlets, E3 2SJ",51.5291891,-0.0166699,10:00:00,16:00:00,No,
Reliance Arcade,https://openhouselondon.open-city.org.uk/listings/9043,"Reliance Arcade is a Grade II Listed covered market in Brixton, London.  The Arcade was constructed in the 1920s and is home to 40 small retail units catering largely to local African-Caribbean communities.","455 Brixton Rd, SW9 8JP",51.462185,-0.1131814,09:00:00,19:00:00,No,
Ripple Greenway and the Lost Words Art Trail,https://openhouselondon.open-city.org.uk/listings/10191,"Ripple Greenway is a beautiful 14-acre linear park and art trail.  Home to Katy Hallett’s steel sculptures, inspired by Robert Macfarlane’s and Jackie Morris’ The Lost Words.
Wooden play and exercise equipment, picnic tables and benches.","Ripple Greenway, Bastable Avenue, IG11 0LG",51.5279424,0.1038885,10:00:00,17:00:00,No,
Royal College of Nursing ,https://openhouselondon.open-city.org.uk/listings/6151,"A cleverly integrated mixture of architectural styles and periods, incorporating a late 1720s house (later home to Herbert Henry Asquith) and the purpose-built College of Nursing (1926). Access for 2022 to Library & Heritage Centre only.","20 Cavendish Square, W1G 0RN",51.5160929,-0.1457657,10:30:00,12:00:00,Yes,Unknown
Self-guided Old Malden Walk,https://openhouselondon.open-city.org.uk/listings/10292,The walk is around Old Malden and covers residential developments within the district. Different styles of suburban architecture includes a selection of modernist housing. There are also historic buildings and other places of interest.,"Manor Drive North, Greater London, KT3 5PN",51.3846475,-0.2622807,00:00:00,23:59:00,No,
"St Anne's Church, Limehouse",https://openhouselondon.open-city.org.uk/listings/6270,"St Anne's Limehouse has been described as 'the finest parish church in England.' Designed by Nicholas Hawksmoor, it is Grade I listed and one of the Major Churches in the Church of England. It is home to a thriving Christian congregation.","Three Colt Street, E14 7HA",51.5098793,-0.0302359,09:00:00,16:00:00,No,
St Dunstan and All Saints Church,https://openhouselondon.open-city.org.uk/listings/2497,"Grade I listed early medieval parish church (from 952 before Tower of London) in spacious churchyard. Fine interior: Anglo-Saxon Rood, Norman font, 'squint', fine memorials incl founders of Trinity House, 1950s glass. Bells of Stepney.","Stepney High Street, E1 0NR",51.517287,-0.0426262,10:00:00,12:00:00,No,
The Church of Our Most Holy Redeemer,https://openhouselondon.open-city.org.uk/listings/2288,"A unique II* listed Italianate church by John Dando Sedding with attached Campanile and Institute Building. Of particular significance in the church is the imposing baldacchino over the High Altar, which dominates the east end.","Exmouth Market, EC1R 4QE",51.5258212,-0.1093193,09:00:00,18:00:00,No,
The City Centre,https://openhouselondon.open-city.org.uk/listings/2653,Learn about the built environment of the City of London. The interactive 1:500 scale Pipers model contains an overview of the City with the latest developments and architecture. See the future skyline with all of the proposed new towers.,"City Centre, within Guildhall Complex , (entrance at 80 Basinghall Street, leading from Gresham Street), EC2V 5AR",51.5155499,-0.0914523,10:00:00,17:00:00,No,
