name,url,description,address,latitude,longitude,start_time,end_time,ticketed_events,fully_booked
A city is not a museum: how London adapts and changes,https://programme.openhouse.org.uk/listings/12796,"What is a city for? This question is more urgent than ever in the 21st century: a warming planet, a housing crisis and ever changing working-living patterns are forcing us to reconsider different ideas for what the city should be. How can these ideas coexist? How can they come into conflict?

This tour explores how London of the 21st century works and how it might work in the future.",Meet: Outside McDonald's,51.51761,-0.08233,18:00:00,20:00:00,Yes,No
Ace Cafe London,https://programme.openhouse.org.uk/listings/7728,"Established in 1938, Ace Cafe London has become ‘the home’ for petrolheads and is known as the world’s most famous motor cafe, based on a shared passion for the rich traditions of motorcycles, cars and rock ’n’ roll.","Ace Corner, North Circular Road, Stonebridge, NW10 7UD",51.5404746,-0.2776228,09:30:00,17:00:00,No,
Andaz London Liverpool Street,https://programme.openhouse.org.uk/listings/11391,"Andaz London Liverpool Street, a concept by Hyatt, blends rich history dating back to the 1200s with modern decor and the vibrant energy of its London neighborhood.

Step inside and join us for an open house tour led by our dedicated team!","Andaz London, 40 Liverpool Street, EC2M 7QN",51.517312,-0.0813472,15:00:00,17:45:00,Yes,No
Balfron Tower,https://programme.openhouse.org.uk/listings/4443,"Designed by visionary architect Ernő Goldfinger, Balfron Tower stands as testament to bold new ideas about how we could live together.

Now the east London landmark enters a new chapter, emerging from a thoughtful retrofit that honours that Sixties spirit.","Balfron Tower, St Leonard's Road , E14 0QR",51.5135719,-0.0088071,14:00:00,18:00:00,Yes,No
Ben Uri Gallery and Museum,https://programme.openhouse.org.uk/listings/12529,"A pioneering virtual museum with a physical presence in London. We celebrate, research and record the richly diverse Jewish, refugee and wide migrant contribution to British visual culture since 1900.","108a Boundary Road, St Johns Wood, NW8 0RH",51.53755,-0.18534,10:00:00,17:00:00,No,
Benjamin Franklin House,https://programme.openhouse.org.uk/listings/2347,"In the heart of London, just steps from famed Trafalgar Square, is Benjamin Franklin House, the world's only remaining Franklin home. 
For nearly sixteen years between 1757 and 1775, Dr Benjamin Franklin – scientist, diplomat, philosopher, inventor, Founding Father of the United States and more – lived behind its doors.

Built circa 1730, we are a Grade I listed house in central London.","36 Craven Street, WC2N 5NF",51.5076423,-0.1248869,11:00:00,15:00:00,No,
Billingsgate Roman House & Baths,https://programme.openhouse.org.uk/listings/5296,"Some of London's best Roman remains, comprising late 2C house with a 3C bath house built within its courtyard. First discovered in 1848.","101 Lower Thames Street, EC3R 6DL",51.5092887,-0.08305119999999999,18:00:00,19:45:00,Yes,No
Brent Museum,https://programme.openhouse.org.uk/listings/12231,"We have been collecting objects about the history of Brent for over 50 years. Visitors can find out about an Eiffel tower in Wembley, why you might make a pilgrimage to Willesden and what the Victorian streets of Brent were really like.","Brent Museum, The Library at Willesden Green – second floor",51.547,-0.22904,10:30:00,20:00:00,No,
Brutalism 101 - A beginners guide to Brutalism,https://programme.openhouse.org.uk/listings/12372,"I am a recent convert to Brutalism.  This walk is designed for novices like me and we will explore, discuss, (and photograph if you want to) the unique architectural style of Brutalism in the heart of London. This is a relaxed walk to look at, and hopefully gain appreciation of, some of London’s  Brutalist Buildings.","Penton Rise, WC1X 9EN",51.53133,-0.11421,10:30:00,12:30:00,Yes,No
Costa's Barbers,https://programme.openhouse.org.uk/listings/12545,"A high street shop, recently converted into a home with a continued, strengthened and adaptable relationship to its street - allowing the former shop floor to be used for commercial or public purposes when desired. Currently occupied as both home and architecture studio, the project was collaboratively self-built by its designers.","165 Battersea High Street, SW11 3JS",51.47061,-0.17206,19:00:00,21:00:00,Yes,No
