name,url,description,address,latitude,longitude,start_time,end_time,ticketed_events,fully_booked
4 Bayer House,https://programme.openhouse.org.uk/listings/435,Part of Golden Lane Estate which was the first public housing to be listed. A maisonette with much of the original detailing and finishes.,"Golden Lane Estate, EC1Y 0RN",51.5225133,-0.09526169999999999,10:00:00,16:00:00,Yes,No
59 Mountview Road,https://programme.openhouse.org.uk/listings/12817,"The owners of this Victorian house had a dilemma. Should they relocate to Australia or stay in London? Mulroy Architects design combines both with a series of bold design interventions include moving the staircase from the centre to the side of the house, a full-plan basement and a new 9.3 metre diagonal extension, and large openable roof lights that capture the south facing light.","59 Mountview Road, N4 4SR",51.57603,-0.11601,10:00:00,17:00:00,No,
69 Adys Road,https://programme.openhouse.org.uk/listings/12697,"Incredible transformation of a Victorian end of terrace with multiple extensions at the rear, side and top transforming it into a beautiful contemporary home, with a nudge to the traditional. Inside is a veritable jungle!","69 Adys Road, SE15 4DX",51.46252,-0.07153,10:00:00,16:00:00,No,
"8 Stoneleigh Terrace (Highgate New Town, Stage 1)",https://programme.openhouse.org.uk/listings/689,"Built during the golden era of Camden public housing under Borough Architect Sydney Cook. Peter Tábori  studied with Ernő Goldfinger and worked with Denys Lasdun, and met Ken Adie when both were students at the Regent Street Polytechnic.","8 Stoneleigh Terrace, N19 5TY",51.565,-0.14171,14:00:00,17:00:00,Yes,No
81 Columbia Road,https://programme.openhouse.org.uk/listings/12567,Step into the historic charm of 81 Columbia Road Flower Market in East London.  This iconic Victorian terraced house functions as a live/work space for a local artist who has focussed on photographs of London architecture and life.,"81 Columbia Road, E2 7RG",51.5297,-0.0691,10:00:00,17:00:00,No,
A Ruskinian Walk Through Shared Heritage,https://programme.openhouse.org.uk/listings/4686,"Ruskinian walk from RIBA award-winning Chiswick Business Park, Gunnersbury Triangle Nature Reserve through South Acton Estate, birthplace of artist Patrick Caulfield; Woodlands Park Ice House; to home of William Willett, initiator of Daylight Saving Time","Building 3, Chiswick Business Park, 566 Chiswick High Road, W4 5YA",51.4930625,-0.2747704,14:00:00,16:00:00,Yes,No
A tale of two cities - two takes on modernist housing,https://programme.openhouse.org.uk/listings/12792,"Join this walking tour to discover how post-war architects and planners re-imagined the future of housing, including the low-rise Alexandra and Ainsworth Estate designed by Neave Brown and the high-rise monolith Trellick Tower by  Erno Goldfinger. This walk is not about housing pre-fixed by ‘public’, ‘social’, ‘council’ or ‘local’ – but the concept of housing itself.","Meet: outside South Hampstead Stn, 156 Loudoun Road, NW8 0DJ",51.54129,-0.17906,14:00:00,17:00:00,Yes,No
Abney Park Open Day,https://programme.openhouse.org.uk/listings/12623,"Join our open tours to explore the newly restored Chapel at Abney Park and hear about the restoration process from Kaner Olette architects and stained glass artist, Piotr Frac. Kaner Olette will give talks about the sustainable build of our new community rooms, cafe and artist workshops, with Russell Miller sharing how the project achieved a net gain in biodiversity though planting a green roof.","Abney Park, Stoke Newington High Street, N16 0LH",51.56427,-0.07717,11:00:00,16:00:00,Yes,No
Aga Khan Centre,https://programme.openhouse.org.uk/listings/7273,"The Aga Khan Centre, designed by Pritzker prize winning architect Fumihiko Maki, houses the UK institutions of the Aga Khan Development Network. A unique feature are its six gardens inspired by different regions of the Muslim world.","Aga Khan Centre, 10 Handyside Street, N1C 4DN",51.5375703,-0.1248016,11:00:00,16:00:00,Yes,No
Apothecaries' Hall,https://programme.openhouse.org.uk/listings/1376,A courtyard building with some of the best-preserved 17C livery hall interiors. Built on the site of the Blackfriars Priory and replacing the original hall burned down in 1666. Courtyard refurbished in 2017.,"Black Friars Lane, EC4V 6EJ",51.51282,-0.1032,10:00:00,15:00:00,No,
Art in Perpetuity Trust,https://programme.openhouse.org.uk/listings/11049,"Open Studios, provides a unique glimpse to the architectural spaces and working studios of APT artists.  Over the weekend, there is also the opportunity to see our Group Show in the Gallery, curated by and featuring APT artist's work.","6 Creekdside, Harold Wharf, SE8 4SA",51.47652069999999,-0.0210711,12:00:00,17:00:00,No,
BSL Walking Tour of The Line,https://programme.openhouse.org.uk/listings/12673,"Join Martin Glover,  Deaf BSL user, architect and art facilitator, on a guided tour of The Line, East London's public art trail. Martin will lead you around the Greenwich Peninsula section of The Line, introducing you to installations by Alex Chinneck, Serge Attukwei Clottey & Antony Gormley & more.

The route is wheelchair-accessible and there will be only BSL interpretation, no spoken English.","North Greenwich Tube Station, 5 Millennium Way, SE10 0PH",51.50024,0.00358,11:00:00,12:00:00,No,
BT Tower,https://programme.openhouse.org.uk/listings/2735,"An enduring, distinctive feature of the London skyline for the last 54 years, this is a rare opportunity for members of the public to visit the famous revolving floor, 158m above the capital. After the flight the guests can watch a history of the BT Tower film in our auditorium.","45 Maple Street, W1T 4BG",51.5215779,-0.1396211,09:30:00,19:15:00,Yes,No
Bartholomew Fair,https://programme.openhouse.org.uk/listings/12884,It began with wool and ended in wildness. This tour with a City Guide will uncover 800 years of history and happenings associated with the incident-packed Bartholomew Fair.,"Smithfield Market, Outside Grand Avenue entrance on Long Lane",51.5194,-0.1014,11:00:00,15:15:00,Yes,No
Beaks and Boroughs: nature in London,https://programme.openhouse.org.uk/listings/12904,"London is the ultimate urban sprawl. But hiding among the buildings and cars there are an estimated eight million trees. So who else do we share our city with? Do you have a neighbourhood goose? Are there really seals in the River Thames? 

Join Lucy Brown from wildlife conservation charity ZSL on a journey through London's wild alter-ego, via the parks and waterways of Camden and Westminster.","8 Wellington Place, NW8 9JA",51.53134,-0.17164,14:00:00,16:00:00,Yes,No
Blackhorse Workshop,https://programme.openhouse.org.uk/listings/6882,"A makerspace offering open access to a fully equipped wood and metal workshop with bench space, tools and machinery. Includes education space, community café and 40 studios for creative businesses. Blackhorse Workshop is celebrating its 10th birthday in 2024.","Blackhorse Workshop, 1-2 Sutherland Road Path, E17 6BX",51.59183840000001,-0.03902129999999999,12:00:00,17:00:00,No,
Brent Museum,https://programme.openhouse.org.uk/listings/12231,"We have been collecting objects about the history of Brent for over 50 years. Visitors can find out about an Eiffel tower in Wembley, why you might make a pilgrimage to Willesden and what the Victorian streets of Brent were really like.","Brent Museum, The Library at Willesden Green – second floor",51.547,-0.22904,12:00:00,17:00:00,No,
